campaign_id,run_id,timestamp_host,rx_timestamp_ms,tx_timestamp_ms,inter_arrival_ms,beacon_id,seq_num,pkt_type,mod_kind,spread_factor,rssi_dbm,snr_db,freq_error_hz,payload_len,distance_m,label_sf,label_mod,mod_kind_label,label_beacon,label_pkt
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:29.041049+00:00,71690,72004,925,1,71,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:29.120999+00:00,71767,71758,77,2,71,1,1,7,-45,9.5,5147,14,3.0,7,lora,1,2,1
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:30.033049+00:00,72691,73004,924,1,72,0,1,7,-46,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:30.113050+00:00,72768,72757,77,2,72,1,1,7,-45,10.0,5147,14,3.0,7,lora,1,2,1
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:31.041003+00:00,73693,74004,925,1,73,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:31.120960+00:00,73769,73757,76,2,73,1,1,7,-45,9.5,5147,14,3.0,7,lora,1,2,1
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:32.032977+00:00,74694,75004,925,1,74,0,1,7,-46,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:32.113068+00:00,74771,74756,77,2,74,1,1,7,-45,9.75,5147,14,3.0,7,lora,1,2,1
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:33.040914+00:00,75695,76004,924,1,75,0,1,7,-46,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:33.104993+00:00,75772,75755,77,2,75,1,1,7,-45,9.5,5147,14,3.0,7,lora,1,2,1
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:34.032959+00:00,76696,77004,924,1,76,0,1,7,-46,9.25,5147,14,3.0,7,lora,1,1,0
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:34.112942+00:00,76773,76755,77,2,76,1,1,7,-45,9.75,5147,14,3.0,7,lora,1,2,1
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:35.040863+00:00,77698,78004,925,1,77,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
