timestamp,port,line
2026-04-29T16:20:09.961,COM5,RX DATA seq=0 rssi=-40 snr=9
2026-04-29T16:20:10.961,COM5,RX DATA seq=1 rssi=-40 snr=10
2026-04-29T16:20:11.961,COM5,RX DATA seq=2 rssi=-40 snr=9
2026-04-29T16:20:12.962,COM5,RX DATA seq=3 rssi=-42 snr=9
2026-04-29T16:20:13.962,COM5,RX DATA seq=4 rssi=-43 snr=9
2026-04-29T16:20:14.737,COM5,UID: 360020000350453151313620 --> Board 1
2026-04-29T16:20:14.752,COM5,RegVersion = 0x12
2026-04-29T16:20:14.775,COM5,lora_init done
2026-04-29T16:20:14.777,COM5,Target B responder ready
2026-04-29T16:20:14.962,COM5,RX DATA seq=5 rssi=-43 snr=9
2026-04-29T16:20:15.964,COM5,RX DATA seq=6 rssi=-39 snr=9
2026-04-29T16:20:16.963,COM5,RX DATA seq=7 rssi=-39 snr=9
2026-04-29T16:20:17.964,COM5,RX DATA seq=8 rssi=-38 snr=9
2026-04-29T16:20:18.965,COM5,RX DATA seq=9 rssi=-38 snr=9
2026-04-29T16:20:19.965,COM5,RX DATA seq=10 rssi=-37 snr=9
2026-04-29T16:20:20.965,COM5,RX DATA seq=11 rssi=-38 snr=9
2026-04-29T16:20:21.965,COM5,RX DATA seq=12 rssi=-41 snr=9
2026-04-29T16:20:22.964,COM5,RX DATA seq=13 rssi=-39 snr=9
2026-04-29T16:20:26.956,COM5,RX DATA seq=0 rssi=-41 snr=9
2026-04-29T16:20:27.032,COM5,# stats: data_rx=10 acks_sent=10
2026-04-29T16:20:27.957,COM5,RX DATA seq=1 rssi=-42 snr=10
2026-04-29T16:20:28.957,COM5,RX DATA seq=2 rssi=-39 snr=9
2026-04-29T16:20:29.956,COM5,RX DATA seq=3 rssi=-40 snr=9
2026-04-29T16:20:30.956,COM5,RX DATA seq=4 rssi=-38 snr=9
2026-04-29T16:20:31.957,COM5,RX DATA seq=5 rssi=-40 snr=9
2026-04-29T16:20:32.958,COM5,RX DATA seq=6 rssi=-39 snr=10
2026-04-29T16:20:33.958,COM5,RX DATA seq=7 rssi=-40 snr=9
2026-04-29T16:20:34.958,COM5,RX DATA seq=8 rssi=-40 snr=9
2026-04-29T16:20:35.959,COM5,RX DATA seq=9 rssi=-39 snr=9
2026-04-29T16:20:36.959,COM5,RX DATA seq=10 rssi=-39 snr=9
2026-04-29T16:20:37.035,COM5,# stats: data_rx=20 acks_sent=20
2026-04-29T16:20:37.959,COM5,RX DATA seq=11 rssi=-40 snr=9
2026-04-29T16:20:38.959,COM5,RX DATA seq=12 rssi=-39 snr=9
2026-04-29T16:20:39.960,COM5,RX DATA seq=13 rssi=-36 snr=9
2026-04-29T16:20:40.960,COM5,RX DATA seq=14 rssi=-36 snr=9
2026-04-29T16:20:41.960,COM5,RX DATA seq=15 rssi=-36 snr=9
2026-04-29T16:20:42.960,COM5,RX DATA seq=16 rssi=-36 snr=9
2026-04-29T16:20:43.960,COM5,RX DATA seq=17 rssi=-36 snr=9
2026-04-29T16:20:44.960,COM5,RX DATA seq=18 rssi=-36 snr=9
2026-04-29T16:20:45.960,COM5,RX DATA seq=19 rssi=-36 snr=9
2026-04-29T16:20:46.961,COM5,RX DATA seq=20 rssi=-36 snr=9
2026-04-29T16:20:47.036,COM5,# stats: data_rx=30 acks_sent=30
2026-04-29T16:20:47.961,COM5,RX DATA seq=21 rssi=-36 snr=10
2026-04-29T16:20:48.961,COM5,RX DATA seq=22 rssi=-36 snr=9
2026-04-29T16:20:49.962,COM5,RX DATA seq=23 rssi=-36 snr=10
2026-04-29T16:20:50.962,COM5,RX DATA seq=24 rssi=-36 snr=9
2026-04-29T16:20:51.962,COM5,RX DATA seq=25 rssi=-36 snr=9
2026-04-29T16:20:52.962,COM5,RX DATA seq=26 rssi=-36 snr=10
2026-04-29T16:20:53.962,COM5,RX DATA seq=27 rssi=-39 snr=9
2026-04-29T16:20:54.963,COM5,RX DATA seq=28 rssi=-39 snr=9
2026-04-29T16:20:55.963,COM5,RX DATA seq=29 rssi=-39 snr=9
2026-04-29T16:20:56.963,COM5,RX DATA seq=30 rssi=-39 snr=9
2026-04-29T16:20:57.038,COM5,# stats: data_rx=40 acks_sent=40
2026-04-29T16:20:57.963,COM5,RX DATA seq=31 rssi=-39 snr=10
2026-04-29T16:20:58.963,COM5,RX DATA seq=32 rssi=-39 snr=9
2026-04-29T16:20:59.963,COM5,RX DATA seq=33 rssi=-39 snr=9
2026-04-29T16:21:00.963,COM5,RX DATA seq=34 rssi=-39 snr=10
2026-04-29T16:21:01.963,COM5,RX DATA seq=35 rssi=-37 snr=9
2026-04-29T16:21:02.963,COM5,RX DATA seq=36 rssi=-37 snr=10
2026-04-29T16:21:03.963,COM5,RX DATA seq=37 rssi=-36 snr=9
2026-04-29T16:21:04.963,COM5,RX DATA seq=38 rssi=-36 snr=9
2026-04-29T16:21:05.963,COM5,RX DATA seq=39 rssi=-38 snr=9
2026-04-29T16:21:06.962,COM5,RX DATA seq=40 rssi=-37 snr=9
2026-04-29T16:21:07.039,COM5,# stats: data_rx=50 acks_sent=50
2026-04-29T16:21:07.962,COM5,RX DATA seq=41 rssi=-39 snr=9
2026-04-29T16:21:08.962,COM5,RX DATA seq=42 rssi=-39 snr=9
2026-04-29T16:21:09.962,COM5,RX DATA seq=43 rssi=-38 snr=9
2026-04-29T16:21:10.962,COM5,RX DATA seq=44 rssi=-39 snr=9
2026-04-29T16:21:11.962,COM5,RX DATA seq=45 rssi=-39 snr=9
2026-04-29T16:21:12.962,COM5,RX DATA seq=46 rssi=-39 snr=9
2026-04-29T16:21:13.962,COM5,RX DATA seq=47 rssi=-39 snr=9
2026-04-29T16:21:14.962,COM5,RX DATA seq=48 rssi=-38 snr=9
2026-04-29T16:21:15.963,COM5,RX DATA seq=49 rssi=-39 snr=9
2026-04-29T16:21:16.963,COM5,RX DATA seq=50 rssi=-39 snr=9
2026-04-29T16:21:17.038,COM5,# stats: data_rx=60 acks_sent=60
2026-04-29T16:21:17.962,COM5,RX DATA seq=51 rssi=-39 snr=9
2026-04-29T16:21:18.962,COM5,RX DATA seq=52 rssi=-39 snr=9
2026-04-29T16:21:19.962,COM5,RX DATA seq=53 rssi=-39 snr=9
2026-04-29T16:21:20.962,COM5,RX DATA seq=54 rssi=-38 snr=9
2026-04-29T16:21:21.961,COM5,RX DATA seq=55 rssi=-39 snr=9
2026-04-29T16:21:22.962,COM5,RX DATA seq=56 rssi=-38 snr=9
2026-04-29T16:21:23.962,COM5,RX DATA seq=57 rssi=-39 snr=9
2026-04-29T16:21:24.960,COM5,RX DATA seq=58 rssi=-39 snr=9
2026-04-29T16:21:25.961,COM5,RX DATA seq=59 rssi=-39 snr=9
2026-04-29T16:21:26.960,COM5,RX DATA seq=60 rssi=-39 snr=9
2026-04-29T16:21:27.037,COM5,# stats: data_rx=70 acks_sent=70
2026-04-29T16:21:27.961,COM5,RX DATA seq=61 rssi=-39 snr=9
2026-04-29T16:21:28.961,COM5,RX DATA seq=62 rssi=-38 snr=10
2026-04-29T16:21:29.960,COM5,RX DATA seq=63 rssi=-39 snr=9
2026-04-29T16:21:30.961,COM5,RX DATA seq=64 rssi=-39 snr=9
2026-04-29T16:21:31.960,COM5,RX DATA seq=65 rssi=-39 snr=9
2026-04-29T16:21:32.960,COM5,RX DATA seq=66 rssi=-39 snr=9
2026-04-29T16:21:33.960,COM5,RX DATA seq=67 rssi=-39 snr=9
2026-04-29T16:21:34.960,COM5,RX DATA seq=68 rssi=-39 snr=9
2026-04-29T16:21:35.960,COM5,RX DATA seq=69 rssi=-39 snr=9
2026-04-29T16:21:36.960,COM5,RX DATA seq=70 rssi=-39 snr=9
2026-04-29T16:21:37.035,COM5,# stats: data_rx=80 acks_sent=80
2026-04-29T16:21:37.959,COM5,RX DATA seq=71 rssi=-39 snr=9
2026-04-29T16:21:38.959,COM5,RX DATA seq=72 rssi=-38 snr=9
2026-04-29T16:21:39.959,COM5,RX DATA seq=73 rssi=-40 snr=9
2026-04-29T16:21:40.959,COM5,RX DATA seq=74 rssi=-39 snr=9
2026-04-29T16:21:41.959,COM5,RX DATA seq=75 rssi=-39 snr=9
2026-04-29T16:21:42.959,COM5,RX DATA seq=76 rssi=-39 snr=9
2026-04-29T16:21:43.959,COM5,RX DATA seq=77 rssi=-40 snr=9
2026-04-29T16:21:44.959,COM5,RX DATA seq=78 rssi=-39 snr=10
2026-04-29T16:21:45.959,COM5,RX DATA seq=79 rssi=-39 snr=9
2026-04-29T16:21:46.959,COM5,RX DATA seq=80 rssi=-39 snr=9
2026-04-29T16:21:47.034,COM5,# stats: data_rx=90 acks_sent=90
2026-04-29T16:21:47.958,COM5,RX DATA seq=81 rssi=-39 snr=9
2026-04-29T16:21:48.959,COM5,RX DATA seq=82 rssi=-39 snr=10
2026-04-29T16:21:49.959,COM5,RX DATA seq=83 rssi=-39 snr=9
2026-04-29T16:21:50.959,COM5,RX DATA seq=84 rssi=-39 snr=10
2026-04-29T16:21:51.958,COM5,RX DATA seq=85 rssi=-40 snr=9
2026-04-29T16:21:52.958,COM5,RX DATA seq=86 rssi=-39 snr=10
2026-04-29T16:21:53.958,COM5,RX DATA seq=87 rssi=-39 snr=9
2026-04-29T16:21:54.958,COM5,RX DATA seq=88 rssi=-39 snr=9
2026-04-29T16:21:55.958,COM5,RX DATA seq=89 rssi=-39 snr=9
2026-04-29T16:21:56.958,COM5,RX DATA seq=90 rssi=-40 snr=9
2026-04-29T16:21:57.034,COM5,# stats: data_rx=100 acks_sent=100
2026-04-29T16:21:57.958,COM5,RX DATA seq=91 rssi=-39 snr=9
2026-04-29T16:21:58.958,COM5,RX DATA seq=92 rssi=-39 snr=9
2026-04-29T16:21:59.958,COM5,RX DATA seq=93 rssi=-39 snr=9
2026-04-29T16:22:00.958,COM5,RX DATA seq=94 rssi=-39 snr=9
2026-04-29T16:22:01.958,COM5,RX DATA seq=95 rssi=-39 snr=10
2026-04-29T16:22:02.957,COM5,RX DATA seq=96 rssi=-39 snr=9
2026-04-29T16:22:03.957,COM5,RX DATA seq=97 rssi=-39 snr=10
2026-04-29T16:22:04.957,COM5,RX DATA seq=98 rssi=-38 snr=9
2026-04-29T16:22:05.957,COM5,RX DATA seq=99 rssi=-37 snr=9
2026-04-29T16:22:06.957,COM5,RX DATA seq=100 rssi=-36 snr=9
2026-04-29T16:22:07.032,COM5,# stats: data_rx=110 acks_sent=110
2026-04-29T16:22:07.956,COM5,RX DATA seq=101 rssi=-37 snr=9
2026-04-29T16:22:08.956,COM5,RX DATA seq=102 rssi=-37 snr=9
2026-04-29T16:22:09.956,COM5,RX DATA seq=103 rssi=-37 snr=9
2026-04-29T16:22:10.956,COM5,RX DATA seq=104 rssi=-38 snr=9
2026-04-29T16:22:11.955,COM5,RX DATA seq=105 rssi=-37 snr=9
2026-04-29T16:22:12.955,COM5,RX DATA seq=106 rssi=-38 snr=9
2026-04-29T16:22:13.955,COM5,RX DATA seq=107 rssi=-38 snr=9
2026-04-29T16:22:14.955,COM5,RX DATA seq=108 rssi=-37 snr=9
2026-04-29T16:22:15.955,COM5,RX DATA seq=109 rssi=-40 snr=9
2026-04-29T16:22:16.955,COM5,RX DATA seq=110 rssi=-39 snr=9
2026-04-29T16:22:17.030,COM5,# stats: data_rx=120 acks_sent=120
2026-04-29T16:22:17.955,COM5,RX DATA seq=111 rssi=-39 snr=9
2026-04-29T16:22:18.953,COM5,RX DATA seq=112 rssi=-39 snr=9
2026-04-29T16:22:19.954,COM5,RX DATA seq=113 rssi=-39 snr=9
2026-04-29T16:22:20.952,COM5,RX DATA seq=114 rssi=-39 snr=10
2026-04-29T16:22:21.953,COM5,RX DATA seq=115 rssi=-39 snr=9
2026-04-29T16:22:22.951,COM5,RX DATA seq=116 rssi=-39 snr=9
2026-04-29T16:22:23.950,COM5,RX DATA seq=117 rssi=-39 snr=10
2026-04-29T16:22:24.949,COM5,RX DATA seq=118 rssi=-39 snr=9
2026-04-29T16:22:25.949,COM5,RX DATA seq=119 rssi=-39 snr=9
2026-04-29T16:22:26.948,COM5,RX DATA seq=120 rssi=-39 snr=9
2026-04-29T16:22:27.024,COM5,# stats: data_rx=130 acks_sent=130
2026-04-29T16:22:27.948,COM5,RX DATA seq=121 rssi=-40 snr=9
2026-04-29T16:22:28.946,COM5,RX DATA seq=122 rssi=-39 snr=9
2026-04-29T16:22:29.946,COM5,RX DATA seq=123 rssi=-39 snr=9
2026-04-29T16:22:30.946,COM5,RX DATA seq=124 rssi=-40 snr=9
2026-04-29T16:22:31.944,COM5,RX DATA seq=125 rssi=-39 snr=9
2026-04-29T16:22:32.943,COM5,RX DATA seq=126 rssi=-39 snr=9
2026-04-29T16:22:33.944,COM5,RX DATA seq=127 rssi=-38 snr=11
2026-04-29T16:22:34.943,COM5,RX DATA seq=128 rssi=-39 snr=9
2026-04-29T16:22:35.942,COM5,RX DATA seq=129 rssi=-39 snr=9
2026-04-29T16:22:36.941,COM5,RX DATA seq=130 rssi=-39 snr=9
2026-04-29T16:22:37.017,COM5,# stats: data_rx=140 acks_sent=140
2026-04-29T16:22:37.940,COM5,RX DATA seq=131 rssi=-39 snr=9
2026-04-29T16:22:38.940,COM5,RX DATA seq=132 rssi=-39 snr=9
2026-04-29T16:22:39.939,COM5,RX DATA seq=133 rssi=-39 snr=12
2026-04-29T16:22:40.939,COM5,RX DATA seq=134 rssi=-39 snr=9
2026-04-29T16:22:41.938,COM5,RX DATA seq=135 rssi=-39 snr=9
2026-04-29T16:22:42.937,COM5,RX DATA seq=136 rssi=-39 snr=9
2026-04-29T16:22:43.936,COM5,RX DATA seq=137 rssi=-39 snr=9
2026-04-29T16:22:44.936,COM5,RX DATA seq=138 rssi=-39 snr=10
2026-04-29T16:22:45.935,COM5,RX DATA seq=139 rssi=-40 snr=9
2026-04-29T16:22:46.934,COM5,RX DATA seq=140 rssi=-39 snr=9
2026-04-29T16:22:47.010,COM5,# stats: data_rx=150 acks_sent=150
2026-04-29T16:22:47.933,COM5,RX DATA seq=141 rssi=-39 snr=9
2026-04-29T16:22:48.932,COM5,RX DATA seq=142 rssi=-39 snr=9
2026-04-29T16:22:49.931,COM5,RX DATA seq=143 rssi=-39 snr=9
2026-04-29T16:22:50.930,COM5,RX DATA seq=144 rssi=-40 snr=9
2026-04-29T16:22:51.929,COM5,RX DATA seq=145 rssi=-39 snr=10
2026-04-29T16:22:52.929,COM5,RX DATA seq=146 rssi=-40 snr=10
2026-04-29T16:22:53.928,COM5,RX DATA seq=147 rssi=-39 snr=10
2026-04-29T16:22:54.927,COM5,RX DATA seq=148 rssi=-39 snr=9
2026-04-29T16:22:55.926,COM5,RX DATA seq=149 rssi=-39 snr=9
2026-04-29T16:22:56.925,COM5,RX DATA seq=150 rssi=-39 snr=10
2026-04-29T16:22:57.001,COM5,# stats: data_rx=160 acks_sent=160
2026-04-29T16:22:57.925,COM5,RX DATA seq=151 rssi=-39 snr=9
2026-04-29T16:22:58.924,COM5,RX DATA seq=152 rssi=-39 snr=9
2026-04-29T16:22:59.923,COM5,RX DATA seq=153 rssi=-39 snr=9
2026-04-29T16:23:00.922,COM5,RX DATA seq=154 rssi=-39 snr=9
2026-04-29T16:23:01.922,COM5,RX DATA seq=155 rssi=-39 snr=9
2026-04-29T16:23:02.921,COM5,RX DATA seq=156 rssi=-39 snr=9
2026-04-29T16:23:03.920,COM5,RX DATA seq=157 rssi=-39 snr=9
2026-04-29T16:23:04.919,COM5,RX DATA seq=158 rssi=-39 snr=9
2026-04-29T16:23:05.918,COM5,RX DATA seq=159 rssi=-40 snr=9
2026-04-29T16:23:06.918,COM5,RX DATA seq=160 rssi=-39 snr=9
2026-04-29T16:23:06.993,COM5,# stats: data_rx=170 acks_sent=170
2026-04-29T16:23:07.917,COM5,RX DATA seq=161 rssi=-40 snr=9
2026-04-29T16:23:08.916,COM5,RX DATA seq=162 rssi=-39 snr=9
2026-04-29T16:23:09.915,COM5,RX DATA seq=163 rssi=-39 snr=9
2026-04-29T16:23:10.915,COM5,RX DATA seq=164 rssi=-40 snr=9
2026-04-29T16:23:11.914,COM5,RX DATA seq=165 rssi=-39 snr=9
2026-04-29T16:23:12.913,COM5,RX DATA seq=166 rssi=-39 snr=9
2026-04-29T16:23:13.912,COM5,RX DATA seq=167 rssi=-39 snr=9
2026-04-29T16:23:14.911,COM5,RX DATA seq=168 rssi=-39 snr=9
2026-04-29T16:23:15.910,COM5,RX DATA seq=169 rssi=-39 snr=10
2026-04-29T16:23:16.909,COM5,RX DATA seq=170 rssi=-39 snr=9
2026-04-29T16:23:16.985,COM5,# stats: data_rx=180 acks_sent=180
2026-04-29T16:23:17.908,COM5,RX DATA seq=171 rssi=-39 snr=10
2026-04-29T16:23:18.907,COM5,RX DATA seq=172 rssi=-39 snr=9
2026-04-29T16:23:19.907,COM5,RX DATA seq=173 rssi=-40 snr=9
2026-04-29T16:23:20.905,COM5,RX DATA seq=174 rssi=-39 snr=9
2026-04-29T16:23:21.905,COM5,RX DATA seq=175 rssi=-39 snr=10
2026-04-29T16:23:22.903,COM5,RX DATA seq=176 rssi=-39 snr=9
2026-04-29T16:23:23.903,COM5,RX DATA seq=177 rssi=-38 snr=9
2026-04-29T16:23:24.901,COM5,RX DATA seq=178 rssi=-40 snr=9
2026-04-29T16:23:25.901,COM5,RX DATA seq=179 rssi=-39 snr=9
2026-04-29T16:23:26.901,COM5,RX DATA seq=180 rssi=-39 snr=9
2026-04-29T16:23:26.976,COM5,# stats: data_rx=190 acks_sent=190
2026-04-29T16:23:27.899,COM5,RX DATA seq=181 rssi=-39 snr=9
2026-04-29T16:23:28.898,COM5,RX DATA seq=182 rssi=-39 snr=9
2026-04-29T16:23:29.898,COM5,RX DATA seq=183 rssi=-39 snr=9
2026-04-29T16:23:30.897,COM5,RX DATA seq=184 rssi=-40 snr=9
2026-04-29T16:23:31.896,COM5,RX DATA seq=185 rssi=-40 snr=9
2026-04-29T16:23:32.895,COM5,RX DATA seq=186 rssi=-39 snr=9
2026-04-29T16:23:33.894,COM5,RX DATA seq=187 rssi=-39 snr=9
2026-04-29T16:23:34.893,COM5,RX DATA seq=188 rssi=-40 snr=9
2026-04-29T16:23:35.891,COM5,RX DATA seq=189 rssi=-39 snr=9
2026-04-29T16:23:36.891,COM5,RX DATA seq=190 rssi=-39 snr=9
2026-04-29T16:23:36.967,COM5,# stats: data_rx=200 acks_sent=200
2026-04-29T16:23:37.891,COM5,RX DATA seq=191 rssi=-38 snr=9
2026-04-29T16:23:38.890,COM5,RX DATA seq=192 rssi=-38 snr=9
2026-04-29T16:23:39.888,COM5,RX DATA seq=193 rssi=-38 snr=9
