timestamp,port,line
2026-04-29T20:25:23.219,COM3,RX DATA seq=16 rssi=-70 snr=9
2026-04-29T20:25:23.294,COM3,ACK seq=16 rssi=-70
2026-04-29T20:25:24.218,COM3,RX DATA seq=17 rssi=-71 snr=9
2026-04-29T20:25:24.292,COM3,ACK seq=17 rssi=-71
2026-04-29T20:25:25.232,COM3,UID: 400052001750563042313320 --> Board 2
2026-04-29T20:25:25.234,COM3,CRC16 SELFTEST PASS (0x29B1)
2026-04-29T20:25:25.248,COM3,RegVersion = 0x12
2026-04-29T20:25:25.271,COM3,lora_init done
2026-04-29T20:25:25.274,COM3,Target B responder ready (id=0x02)
2026-04-29T20:25:26.216,COM3,RX DATA seq=19 rssi=-71 snr=9
2026-04-29T20:25:26.290,COM3,ACK seq=19 rssi=-71
2026-04-29T20:25:27.215,COM3,RX DATA seq=20 rssi=-68 snr=9
2026-04-29T20:25:27.289,COM3,ACK seq=20 rssi=-68
2026-04-29T20:25:28.214,COM3,RX DATA seq=21 rssi=-75 snr=9
2026-04-29T20:25:28.288,COM3,ACK seq=21 rssi=-75
2026-04-29T20:25:29.212,COM3,RX DATA seq=22 rssi=-70 snr=9
2026-04-29T20:25:29.287,COM3,ACK seq=22 rssi=-70
2026-04-29T20:25:30.211,COM3,RX DATA seq=23 rssi=-75 snr=9
2026-04-29T20:25:30.286,COM3,ACK seq=23 rssi=-75
2026-04-29T20:25:31.210,COM3,RX DATA seq=24 rssi=-75 snr=9
2026-04-29T20:25:31.285,COM3,ACK seq=24 rssi=-75
2026-04-29T20:25:34.070,COM3,RX DATA seq=1 rssi=-74 snr=9
2026-04-29T20:25:34.144,COM3,ACK seq=1 rssi=-74
2026-04-29T20:25:35.068,COM3,RX DATA seq=2 rssi=-78 snr=9
2026-04-29T20:25:35.143,COM3,ACK seq=2 rssi=-78
2026-04-29T20:25:36.067,COM3,RX DATA seq=3 rssi=-70 snr=10
2026-04-29T20:25:36.142,COM3,ACK seq=3 rssi=-70
2026-04-29T20:25:37.066,COM3,RX DATA seq=4 rssi=-66 snr=9
2026-04-29T20:25:37.140,COM3,ACK seq=4 rssi=-66
